year,party_id,party,eu_position,eu_blur,lrgen,galtan,lrecon,redistribution
2019,2014,NFSB,3.947368383407593,3.875,7.349999904632568,8.899999618530273,5.473684310913086,5.400000095367432
2019,2008,DSB,6.823529243469238,0.77777779,7.449999809265137,4.684210300445557,7.949999809265137,6.599999904632568
2019,2004,DPS,6.25,3.3333333,4.714285850524902,6.142857074737549,4.952381134033203,4.599999904632568
2019,2003,BSP,5.099999904632568,5.7777777,3.25,7.142857074737549,3,3
2019,2017,Volya,3.5,5.125,5.55555534362793,8.526315689086914,5.375,5.176470756530762
2019,2019,Slavi Trifonov,4.375,7,5.666666507720947,6.44444465637207,4.333333492279053,3.5
2019,2018,DB,6.8125,0.77777779,6.050000190734863,2.799999952316284,6.777777671813965,5.550000190734863
2019,2007,Ataka,2.200000047683716,2.2222223,6.809523582458496,9.619047164916992,3.526315689086914,3.1875
2019,2005,BMRO,3.842105150222778,4.4285712,6.900000095367432,9.5,4.809523582458496,4.8125
2002,2105,US-DEU,6.83,NA,6.78,2.58,7.53,NA
2006,2106,SNK-ED,6.5,NA,6.67,2.8,7.2,7
2006,2108,Nezavisl,4,NA,5.5,4.75,4.5,NA
2010,2110,VV,4.916666507720947,NA,5.888888835906982,4.3125,5.894736766815186,5.583333492279053
2014,2112,USVIT,2.266666650772095,NA,7.692307472229004,7.714285850524902,5.333333492279053,4
2014,2107,SZ,6.571428775787354,NA,3.857142925262451,1.285714268684387,3.714285612106323,4.090909004211426
2014,2113,SVOBODNI,1.333333373069763,NA,8.714285850524902,4.857142925262451,9.230769157409668,9
2019,2104,KDU-CSL,6.222222328186035,2.1428571,5.888888835906982,7.777777671813965,5.538461685180664,4.458333492279053
2019,2109,TOP09,6.666666507720947,1.5,7.407407283782959,4.851851940155029,7.333333492279053,7.416666507720947
2019,2103,KSCM,2.370370388031006,3.9285715,1.14814817905426,8.074073791503906,1.038461565971375,1.384615421295166
2019,2114,Pirates,6.115384578704834,3,4.28000020980835,1,4.346153736114502,4.217391490936279
2019,2102,ODS,3.777777671813965,4.4285712,7.777777671813965,7.037036895751953,7.703703880310059,7.884615421295166
2019,2111,ANO2011,4.481481552124023,6.7857141,4.692307472229004,5.730769157409668,4.5,3.846153736114502
2019,2116,STAN,6.518518447875977,1.4615384,6.269230842590332,4.07692289352417,6.57692289352417,6.208333492279053
2019,2115,SPD,1.481481432914734,1.8571428,8.84615421295166,9.370369911193848,4.666666507720947,4.136363506317139
2019,2101,CSSD,5.740740776062012,4.6428571,2.740740776062012,4.92307710647583,2.592592477798462,2.440000057220459
2006,2205,KP,3.33,NA,2.25,NA,2.33,NA
2010,2206,ERL,4.571428775787354,NA,4,7.142857551574707,3.428571224212646,3.285714387893677
2014,2207,EER,6,NA,5.75,4.285714149475098,6,5.333333492279053
2014,2208,EVE,6.166666507720947,NA,7.375,3.857142925262451,7.142857074737549,6.599999904632568
2019,2201,IRL,5.083333492279053,4.625,7.538461685180664,7.384615421295166,7.07692289352417,6.333333492279053
2019,2203,ER,6.583333492279053,1.875,6.461538314819336,3.076923131942749,7.461538314819336,6.916666507720947
2019,2210,E200,6.75,1.5714285,5.153846263885498,2.153846263885498,5.846153736114502,4.818181991577148
2019,2204,SDE,6.583333492279053,2.25,3.076923131942749,1.692307710647583,3.384615421295166,2.666666746139526
2019,2209,EKRE,2.083333253860474,4.75,8.461538314819336,9.538461685180664,4.692307472229004,4.75
2019,2202,EK,5.5,4,4.461538314819336,4.615384578704834,3.769230842590332,3.333333253860474
2002,2305,MIEP,1.64,NA,9.71,9.69,4,NA
2002,2306,CP,5.6,NA,4.83,5.55,5.5,NA
2010,2304,SZDSZ,6.599999904632568,NA,4,1.428571462631226,6.75,6.090909004211426
2010,2303,MDF,5.928571224212646,NA,6.333333492279053,6.400000095367432,5.933333396911621,5.75
2010,2307,KDNP,4.882352828979492,NA,7.588234901428223,8.29411792755127,3.058823585510254,4.357142925262451
